S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
004,121,26d,392,44d,52f,54a,570,60f,74e,884,9a3,bd6,f47
11,11,11,11,11,11,11,12,19,19,9,11,11,11
