# Family Xorddos
/usr/bin/jlfthrmymx: 1
/usr/bin/ngyyxxrtfo: 1
/tmp/oqeanltqfm: 1
/tmp/qlrfwteynf: 1
/tmp/xxkyekbjjy: 1
/usr/bin/bzelxedjhi: 1
/bin/xxkyekbjjy: 1
/tmp/glrvvkmbeb: 1
/bin/colrimjucv: 1
/bin/xthptzgcux: 1
/tmp/qcqzqtexbk: 1
/bin/onwexxiyqu: 1
/usr/bin/xxkyekbjjy: 1
/tmp/flelsojwgd: 1
/usr/bin/glrvvkmbeb: 1
/bin/ngyyxxrtfo: 1
/usr/bin/rjssfpglqb: 1
/tmp/iyoyalrelk: 1
/bin/whvplpwopi: 1
/tmp/gyasesuvou: 1
/usr/bin/onslusivym: 1
/usr/bin/cexaksimkk: 1
/tmp/whvplpwopi: 1
/bin/asxodsdqpw: 1
/bin/wszanqacvx: 1
/usr/bin/svrzlepzwg: 1
/bin/kglsqhsrrg: 1
/bin/fefuxaxrrd: 1
/bin/kvjtrcwjda: 1
/tmp/qhiuqgzofl: 1
/tmp/ngyyxxrtfo: 1
/usr/bin/gfyaxytrdu: 1
/usr/bin/qcqzqtexbk: 1
/bin/rukbpaxnng: 1
/boot/hlgpkoezsl: 1
/boot/ljmsrriafj: 1
/boot/ksatflruxo: 1
/boot/xcyyuwgxmx: 1
/etc/rc.d/rc1.d/S90kyjfilcrnq: 1
/boot/surblktlmj: 1
/boot/btiipgrbod: 1
/boot/gzouwclwnr: 1
/boot/zqghiflwfw: 1
/boot/dczbbqscrr: 1
/boot/mfpmkpexoo: 1
/boot/yterrxdnqm: 1
/boot/mmyypjufxq: 1
/boot/jpyqhyfzey: 1
/boot/zdmysrquou: 1
/boot/kfiegjyafw: 1
/boot/qnztnkzxje: 1
/boot/bsuztxmack: 1
/boot/cuzvqbtvfd: 1
/boot/culylmxbnn: 1
/boot/kfsglskbdb: 1
/boot/pyaqircmpc: 1
/etc/rc.d/rc2.d/S90kyjfilcrnq: 1
/boot/bsthdzgvmt: 1
/boot/lgwpwkxyat: 1
/boot/lwiovnycak: 1
/boot/hucenabudx: 1
/boot/fgqxqatvys: 1
/etc/rc.d/rc4.d/S90kyjfilcrnq: 1
/boot/lwhpfsdftn: 1
/boot/dgbfmcdgie: 1
/boot/awroivjpkx: 1
/boot/auqrvglpdz: 1
/boot/rjvpbnmhxl: 1
/boot/bkrlffbdxs: 1
/boot/pydamssrzt: 1
/etc/rc5.d/S90kyjfilcrnq: 1
/boot/yekbvdwwsw: 1
/etc/rc2.d/S90kyjfilcrnq: 1
/boot/ogyujgrviy: 1
/boot/ixfnusqrgg: 1
/etc/rc3.d/S90kyjfilcrnq: 1
/boot/lydfnrjaxp: 1
/boot/bxzcujmwuj: 1
