step,src_node,type,deg,edge,dst_node,type,deg,importance
201,sed,proc,77,set_robust_list,Memory Address,mem,78,1
201,sed,proc,77,prlimit64,8192*1024 bytes,other,7,0
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,futex,Memory Address,mem,78,1
201,sed,proc,77,open,/etc/rc.d/rc.local,file,1,1
201,sed,proc,77,exit_group,status:2,other,4,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,arch_prctl,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,mprotect,Memory Address,mem,78,1
201,sh,proc,90,munmap,Memory Address,mem,78,1
201,sh,proc,90,getuid,ID,other,40,0
201,sh,proc,90,getgid,ID,other,40,0
201,sh,proc,90,getpid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,brk,Memory Address,mem,78,1
201,sh,proc,90,getppid,ID,other,40,0
201,sh,proc,90,geteuid,ID,other,40,0
201,sh,proc,90,getegid,ID,other,40,0
201,sh,proc,90,exec,sed,proc,77,0
201,sh,proc,90,wait4,NO_PID,proc,6,0
201,sh,proc,90,exit_group,status:2,other,4,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,arch_prctl,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,mprotect,Memory Address,mem,78,1
201,sed,proc,77,munmap,Memory Address,mem,78,1
201,sed,proc,77,set_tid_address,Memory Address,mem,78,1
201,sed,proc,77,set_robust_list,Memory Address,mem,78,1
201,sed,proc,77,prlimit64,8192*1024 bytes,other,7,0
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,brk,Memory Address,mem,78,1
201,sed,proc,77,futex,Memory Address,mem,78,1
201,sed,proc,77,open,/etc/init.d/boot.local,file,1,1
201,sed,proc,77,exit_group,status:2,other,4,1
201,1526,proc,16,set_robust_list,Memory Address,mem,78,1
201,1526,proc,16,setsid,ID,other,40,1
201,1526,proc,16,mmap2,Unknown,file,1,1
201,1526,proc,16,mprotect,Memory Address,mem,78,1
201,1526,proc,16,clone,1527,proc,13,1
201,1526,proc,16,mmap2,Unknown,file,1,1
201,1526,proc,16,mprotect,Memory Address,mem,78,1
201,1526,proc,16,clone,1528,proc,2,1
201,1526,proc,16,mmap2,Unknown,file,1,1
201,1526,proc,16,mprotect,Memory Address,mem,78,1
201,1526,proc,16,clone,1529,proc,2,1
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
201,1526,proc,16,read,/dev/urandom,file,1,0
201,1526,proc,16,open,/dev/urandom,file,1,1
