Family,DocId,Γobj,Γrsc,Φop,Φsys
dofloo,"D1,1",,,,
dofloo,"D1,2",0.1159420289855072,0.2,0.0188679245283018,0.1159420289855072
dofloo,"D1,3",0.1304347826086956,0.2,0.1725067385444744,0.1304347826086956
dofloo,"D1,4",0.144927536231884,0.6,0.0269541778975741,0.144927536231884
xorddos,"D2,1",,,,
xorddos,"D2,2",,,,
xorddos,"D2,3",0.0282208588957055,0.7857142857142857,0.1206319453742134,0.0282208588957055
xorddos,"D2,4",0.0355828220858895,0.9285714285714286,0.1289329227473557,0.0355828220858895
xorddos,"D2,5",0.0245398773006134,0.7857142857142857,0.0006694336591243,0.0245398773006134
xorddos,"D2,6",0.0220858895705521,,0.0005355469272995,0.0220858895705521
Darlloz,"D3,6",,,,
Darlloz,"D3,1",,,,
Darlloz,"D3,2",0.0974842767295597,,,0.0974842767295597
Darlloz,"D3,3",0.2012578616352201,,,0.2012578616352201
Darlloz,"D3,4",0.2295597484276729,,0.1157718120805369,0.2295597484276729
Darlloz,"D3,5",0.2327044025157232,,0.12248322147651,0.2327044025157232
lupper,"D8,1",,,,
lupper,"D8,2",,,,
lupper,"D8,3",,,,
lupper,"D8,4",1.382571306115113e-05,,,1.382571306115113e-05
Gafgyt,"D4,1",0.0555555555555555,,,0.0555555555555555
Gafgyt,"D4,2",0.2222222222222222,,,0.2222222222222222
Gafgyt,"D4,4",0.3333333333333333,,0.1518987341772152,0.3333333333333333
Gafgyt,"D4,3",0.25,,0.1645569620253164,0.25
Gafgyt,"D4,5",,,,
Gafgyt,"D4,6",0.0833333333333333,,,0.0833333333333333
Gafgyt,"D4,7",0.0833333333333333,,,0.0833333333333333
Gafgyt,"D4,8",,,,
Luabot,"D5,1",,,,
Luabot,"D5,2",0.0380622837370242,,0.0229226361031518,0.0380622837370242
Luabot,"D5,3",,,,
Luabot,"D5,4",,,,
Luabot,"D5,5",,,,
Luabot,"D5,6",0.0276816608996539,,0.0114613180515759,0.0276816608996539
Luabot,"D5,7",0.0449826989619377,,0.0028653295128939,0.0449826989619377
Luabot,"D5,8",0.0138408304498269,,,0.0138408304498269
Kaiten,"D6,1",,,,
Kaiten,"D6,2",0.1176470588235294,,0.1578947368421052,0.1176470588235294
Kaiten,"D6,3",0.1764705882352941,,,0.1764705882352941
Kaiten,"D6,4",0.0588235294117647,,,0.0588235294117647
Kaiten,"D6,5",0.1176470588235294,0.3333333333333333,0.0526315789473684,0.1176470588235294
Turla,"D7,1",0.0769230769230769,,,0.0769230769230769
Turla,"D7,2",0.3076923076923077,,0.05,0.3076923076923077
Turla,"D7,3",0.2307692307692307,,0.05,0.2307692307692307
Turla,"D7,4",,,,
BPFDoor,"D9,1",0.1111111111111111,,,0.1111111111111111
BPFDoor,"D9,2",0.1851851851851851,,0.0945945945945946,0.1851851851851851
BPFDoor,"D9,3",0.037037037037037,,0.0135135135135135,0.037037037037037
BPFDoor,"D9,4",0.1111111111111111,,0.2162162162162162,0.1111111111111111
BPFDoor,"D9,5",0.037037037037037,,0.3108108108108108,0.037037037037037
BPFDoor,"D9,6",0.037037037037037,,0.0135135135135135,0.037037037037037
BPFDoor,"D9,7",0.2592592592592592,,0.054054054054054,0.2592592592592592
BPFDoor,"D9,8",0.2592592592592592,,0.1216216216216216,0.2592592592592592
Conti,"D10,1",,,,
Conti,"D10,2",0.1666666666666666,,,0.1666666666666666
Conti,"D10,3",,,,
ChinaZ,"D11,1",,,,
ChinaZ,"D11,2",0.0572390572390572,,0.0453020134228187,0.0572390572390572
Defray777,"D12,1",0.1111111111111111,,0.025,0.1111111111111111
Defray777,"D12,2",0.1111111111111111,,0.025,0.1111111111111111
Defray777,"D12,3",,,,
Demonbot,"D13,1",0.1328413284132841,0.1904761904761904,0.0013927576601671,0.1328413284132841
Demonbot,"D13,2",0.0129151291512915,,,0.0129151291512915
EvilGnome,"D14,1",0.0005202289007163,,6.857652282741003e-05,0.0005202289007163
FontOnLake,"D15,1",0.1363636363636363,,,0.1363636363636363
FontOnLake,"D15,2",0.4090909090909091,,0.273972602739726,0.4090909090909091
HCRootkit,"D16,1",0.4090909090909091,,0.0547945205479452,0.4090909090909091
KEYPLUG,"D17,1",,,,
KEYPLUG,"D17,2",0.1,,,0.1
KEYPLUG,"D17,3",0.1,,,2.2
Lightning,"D18,1",0.1304347826086956,1.0,,0.1304347826086956
Melofee,"D19,1",0.0942956926658905,,0.0197841726618705,0.0942956926658905
Melofee,"D19,2",,,,
XMRigMiner,"D21,1",0.0595238095238095,,,0.0595238095238095
XMRigMiner,"D21,2",0.0079365079365079,,0.0040485829959514,0.0079365079365079
XMRigMiner,"D21,3",0.1587301587301587,,0.0263157894736842,0.1587301587301587
XMRigMiner,"D21,4",0.0039682539682539,,0.0020242914979757,0.0039682539682539
