EntityType,ActionType,Source,Syscall,EnVerb,Sentence
FILE,FILE_READ,man,readv(),read,
FILE,FILE_READ,man,setxattr(),set,
FILE,FILE_READ,man,sysfs(),get,
FILE,OTHER,man,_llseek(),reposition,
FILE,OTHER,man,acct(),enable,
FILE,OTHER,man,acct(),switch off,
FILE,OTHER,man,acct(),disable,
FILE,OTHER,man,acct(),switch on,
FILE,OTHER,man,chroot(),change,
FILE,OTHER,man,copy_file_range(),copy,
FILE,OTHER,man,fallocate(),manipulate,
FILE,OTHER,man,fanotify_init(),initialize,
FILE,OTHER,man,fanotify_init(),create,
FILE,OTHER,man,fdatasync(),synchronize,
FILE,OTHER,man,fsync(),synchronize,
FILE,OTHER,man,inotify_add_watch(),add,
FILE,OTHER,man,inotify_add_watch(),modifies,
FILE,OTHER,man,inotify_init(),initialize,
FILE,OTHER,man,inotify_init1(),initialize,
FILE,OTHER,man,inotify_rm_watch(),remove,
FILE,OTHER,man,listxattr(),extended,
FILE,OTHER,man,listxattr(),retrieve,
FILE,OTHER,man,lookup_dcookie(),return,
FILE,OTHER,man,lseek(),reposition,
FILE,OTHER,man,modify_ldt(),write,
FILE,OTHER,man,modify_ldt(),get,
FILE,OTHER,man,modify_ldt(),set,
FILE,OTHER,man,modify_ldt(),read,
FILE,OTHER,man,msync(),synchronize,
FILE,OTHER,man,quotactl(),manipulate,
FILE,OTHER,man,remap_file_pages(),create,
FILE,OTHER,man,sync_file_range(),sync,
FILE,OTHER,man,sync_file_range2(),sync,
FILE,OTHER,man,syncfs(),commit,
FILE,OTHER,man,tee(),write,
FILE,OTHER,man,tee(),read,
FILE,OTHER,man,tee(),copy,
FILE,OTHER,man,timerfd_gettime(),fetch,
FILE,STATUS,man,fstat(),get,
FILE,STATUS,man,fstat(),retrieve,
FILE,STATUS,man,fstat64(),get,
FILE,STATUS,man,fstat64(),retrieve,
FILE,STATUS,man,fstatat64(),get,
FILE,STATUS,man,fstatat64(),retrieve,
FILE,STATUS,man,fstatfs(),get,
FILE,STATUS,man,fstatfs64(),get,
FILE,STATUS,man,lstat(),get,
FILE,STATUS,man,lstat(),retrieve,
FILE,STATUS,man,lstat64(),get,
FILE,STATUS,man,lstat64(),retrieve,
FILE,STATUS,man,newfstatat(),get,
FILE,STATUS,man,newfstatat(),retrieve,
FILE,STATUS,man,oldfstat(),get,
FILE,STATUS,man,oldfstat(),retrieve,
FILE,STATUS,man,oldlstat(),get,
FILE,STATUS,man,oldlstat(),retrieve,
FILE,STATUS,man,oldstat(),get,
FILE,STATUS,man,oldstat(),retrieve,
FILE,STATUS,man,stat(),get,
FILE,STATUS,man,stat(),retrieve,
FILE,STATUS,man,stat64(),get,
FILE,STATUS,man,stat64(),retrieve,
FILE,STATUS,man,statfs(),get,
FILE,STATUS,man,statfs64(),get,
FILE,STATUS,man,statx(),get,
FILE,UPDATE,man,chdir(),change,
FILE,UPDATE,man,chmod(),change,
FILE,UPDATE,man,chown(),change,
FILE,UPDATE,man,chown32(),change,
FILE,UPDATE,man,fadvise64(),access,
FILE,UPDATE,man,fadvise64(),predeclare,
FILE,UPDATE,man,fadvise64_64(),access,
FILE,UPDATE,man,fadvise64_64(),predeclare,
FILE,UPDATE,man,fanotify_mark(),add,
FILE,UPDATE,man,fanotify_mark(),remove,
FILE,UPDATE,man,fanotify_mark(),modify,
FILE,UPDATE,man,fchdir(),change,
FILE,UPDATE,man,fchmod(),change,
FILE,UPDATE,man,fchmodat(),change,
FILE,UPDATE,man,fchown(),change,
FILE,UPDATE,man,fchown32(),change,
FILE,UPDATE,man,fchownat(),change,
FILE,UPDATE,man,fsetxattr(),set,
FILE,UPDATE,man,ftruncate(),truncate,
FILE,UPDATE,man,ftruncate64(),truncate,
FILE,UPDATE,man,lchmod(),change,
FILE,UPDATE,man,lchown(),change,
FILE,UPDATE,man,lchown32(),change,
FILE,UPDATE,man,lremovexattr(),remove,
FILE,UPDATE,man,lsetxattr(),set,
FILE,UPDATE,man,pivot_root(),change,
FILE,UPDATE,man,pwrite64(),write,
FILE,UPDATE,man,pwritev(),write,
FILE,UPDATE,man,pwritev2(),write,
FILE,UPDATE,man,removexattr(),remove,
FILE,UPDATE,man,rename(),rename,
FILE,UPDATE,man,rename(),change,
FILE,UPDATE,man,renameat(),rename,
