step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
308,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
309,sh,proc,138,stat,/usr/sbin/sed,file,6,0
310,sh,proc,138,stat,/usr/bin/sed,file,6,0
311,sh,proc,138,stat,/sbin/sed,file,6,0
312,sh,proc,138,stat,/bin/sed,file,6,0
334,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
335,sed,proc,107,statfs,/selinux,file,6,0
338,sed,proc,107,access,/etc/selinux/config,file,6,0
340,sed,proc,107,open,/etc/rc.d/rc.local,file,1,1
356,sh,proc,138,stat,/prober,file,7,0
357,sh,proc,138,stat,.,file,6,0
360,sh,proc,138,stat,/usr/local/sbin/sed,file,6,0
361,sh,proc,138,stat,/usr/local/bin/sed,file,6,0
362,sh,proc,138,stat,/usr/sbin/sed,file,6,0
363,sh,proc,138,stat,/usr/bin/sed,file,6,0
364,sh,proc,138,stat,/sbin/sed,file,6,0
365,sh,proc,138,stat,/bin/sed,file,6,0
387,sed,proc,107,statfs,/sys/fs/selinux,file,6,0
388,sed,proc,107,statfs,/selinux,file,6,0
391,sed,proc,107,access,/etc/selinux/config,file,6,0
393,sed,proc,107,open,/etc/init.d/boot.local,file,1,1
397,1526,proc,17,mmap2,Unknown,file,1,1
400,1526,proc,17,mmap2,Unknown,file,1,1
403,1526,proc,17,mmap2,Unknown,file,1,1
406,1526,proc,17,open,/dev/urandom,file,2,1
407,1526,proc,17,read,/dev/urandom,file,2,0
408,1526,proc,17,open,/dev/urandom,file,2,1
409,1526,proc,17,read,/dev/urandom,file,2,0
410,1526,proc,17,open,/dev/urandom,file,2,1
411,1526,proc,17,read,/dev/urandom,file,2,0
412,1526,proc,17,open,/dev/urandom,file,2,1
413,1526,proc,17,read,/dev/urandom,file,2,0
414,1526,proc,17,open,/dev/urandom,file,2,1
415,1526,proc,17,read,/dev/urandom,file,2,0
416,1526,proc,17,open,/dev/urandom,file,2,1
417,1526,proc,17,read,/dev/urandom,file,2,0
418,1526,proc,17,open,/dev/urandom,file,2,1
419,1526,proc,17,read,/dev/urandom,file,2,0
420,1526,proc,17,open,/dev/urandom,file,2,1
421,1526,proc,17,read,/dev/urandom,file,2,0
422,1526,proc,17,open,/dev/urandom,file,2,1
423,1526,proc,17,read,/dev/urandom,file,2,0
424,1526,proc,17,open,/dev/urandom,file,2,1
425,1526,proc,17,read,/dev/urandom,file,2,0
426,1526,proc,17,open,/dev/urandom,file,2,1
427,1526,proc,17,read,/dev/urandom,file,2,0
428,1526,proc,17,open,/dev/urandom,file,2,1
429,1526,proc,17,read,/dev/urandom,file,2,0
430,1526,proc,17,open,/dev/urandom,file,2,1
431,1526,proc,17,read,/dev/urandom,file,2,0
432,1526,proc,17,open,/dev/urandom,file,2,1
433,1526,proc,17,read,/dev/urandom,file,2,0
